,mval_ 0,mval_ 1,mval_ 2,mval_ 3,mval_ 4,mval_ 5,mval_ 6,mval_ 7,mval_ 8,mval_ 9,mval_10,mval_11,mval_12,mval_13,mval_14,mval_15,mval_16,mval_17,mval_18,mval_19,mval_20,mval_21,mval_22,mval_23,mval_24,mval_25,mval_26,mval_27,mval_28,mval_29,mval_30,mval_31,mval_32,mval_33,mval_34,mval_35,mval_36,mval_37,mval_38,mval_39,mval_40,mval_41,mval_42,mval_43,mval_44,mval_45,mval_46
0,2086.87896659,2079.83253466,3244.40719375,1955.95941409,2060.00210309,1968.34202687,30040.5054875,3153.74163118,2055.22233906,357984.363269,186234.145674,-446889.187539,-16380.9300201,2059.0682198,2107.6854209,2048.36063133,1988.94359909,1986.33561777,1960.70900966,1984.62620091,2024.69431626,2060.89417763,2096.70311121,2143.91092546,97264.2371179,56613.4483302,-326601.967745,-288325.276219,-244407.552126,2063.1644344,2084.11728464,2113.5915879,1946.75879602,2051.46799596,130842.384341,107134.006672,223216.436643,-163555.03985,1971.71057127,1996.58562937,1968.90513671,2021.84905265,2082.91463142,2091.26465424,2041.82445076,2048.10870292,2092.35012761
1,2094.70939897,2127.66778286,3535.65767063,2070.56765098,2044.79352237,1988.30772946,37531.4036481,3481.71472676,2097.62329161,-102449.941338,-171314.826161,-896327.753307,-29677.7965333,2093.55985344,2110.37043532,2117.10509842,2112.0698948,2047.31969105,1987.44133934,2022.52565581,2086.91421805,2107.82932216,2107.2585853,2127.25632474,-101175.353258,-69655.9282621,470082.618055,-1556572.5428,-187226.765044,2181.33147182,2119.42563278,2171.08357338,2023.58997095,2077.54891133,-155322.447304,179599.952207,133496.376137,-111675.735024,2047.96840808,2045.34692941,2018.56538979,2050.49204522,2092.34950685,2176.83593774,2082.80347815,2070.52868255,2039.76434597
2,2126.79018047,2068.28842398,3536.04883904,2074.59769225,2104.72232717,2012.3685106,38762.6617075,3567.50374843,2073.74726962,-19540.3629996,-232438.125473,-141861.313116,59424.2128113,2101.09004674,2100.57895973,2112.3385261,2129.09095346,1986.90346926,2022.31335759,2003.65656824,2076.74535093,2109.61809344,2077.00574505,2098.36458119,-92129.8303787,-537937.628326,926848.992851,104029.286279,396582.794091,2066.39813252,2136.92049824,2126.95531858,2061.71413157,2089.42054832,958419.11133,58933.1767357,356331.700092,-55602.898377,2076.98484153,2024.67745855,2053.18073403,2046.88261715,2103.18394336,2154.83738114,2079.99373799,2141.01060628,2065.64966422
3,2078.20703413,2055.89291805,3642.52707707,2086.62734179,2114.59279852,2030.20738719,39784.8056418,3628.88159933,2107.20876839,-525059.45503,-242099.005193,1556.950922,57676.2812318,2141.85829512,2078.85618241,2124.03881336,2140.58841293,1966.92280352,2006.72669787,2026.3530839,2074.86282005,2093.37010033,2098.41199244,2146.68313155,48520.7047913,-448077.521804,7394.94481954,4328426.66598,406735.815168,2042.08152503,2123.48375181,2113.88847129,2065.30330169,2132.66297249,58928.0886293,1633574.11477,-284716.094612,169996.412084,2075.25269559,1982.54001663,2046.74774129,2101.80853569,2141.39570857,2116.69409153,2109.80893978,2120.85662347,2037.8749349
4,2019.91972388,2092.54493253,3563.78140897,2042.89274403,2076.8377599,2033.66650113,40641.8610875,3614.53683662,2155.86444194,189.16001925,-520962.235287,-43780.3869466,-43425.7996655,2144.5624529,2064.95437867,2098.38620932,2123.53953893,2048.10972474,2008.42899452,2039.96960375,2042.22181776,2084.87727447,2120.28771389,2122.79740803,44022.585161,-119852.616208,-1929093.81236,-2114332.20106,-63552.0555652,2087.92595247,2049.85383765,2125.62861649,2087.29325217,2118.46677939,164424.13547,-37044.7271973,226190.172001,218367.939899,2035.27078448,1957.29705904,2061.94508825,2104.62122113,2108.40267059,2117.07460964,2123.73468854,2049.51439987,2011.09743154
5,2074.75675355,2144.95078608,3539.3157567,2080.75506613,2093.41088371,2045.52299959,40532.6544471,3592.56148577,2102.73534001,152963.51937,798092.418773,367211.347505,-104580.187232,2158.10387741,2100.58172172,2067.15294105,2091.04533111,2022.94451779,2066.71855855,2002.14292458,2081.97690209,2082.27738637,2102.21334918,2119.2968503,69965.1034887,10487180.8786,-245872.357029,-469806.551233,-296701.616348,2092.46287367,2076.73917862,2104.23402847,2109.2751453,2108.94974913,-156703.935774,257050.441141,72265.7151313,-132796.667197,2026.2809453,1950.89800871,2104.02148443,2040.99283083,2065.12884351,2140.59693786,2098.79342862,2089.52907531,2113.25767908
6,2111.93757793,2144.33991715,3485.99183262,2108.15897839,2069.95191647,2025.06464888,39815.3275687,3605.74946526,2014.59051678,-81426.9462796,188249.238729,503477.614652,54770.4719449,2149.69134609,2074.85303786,2111.49242356,2091.22829623,2013.41989671,2062.80890256,1993.08872843,2062.76948607,2034.06688976,2060.93355415,2101.18666815,-211294.481899,482578.932379,-374558.555486,103649.220522,388138.052543,2081.67224682,2169.99197419,2084.61150479,2043.57368935,2106.36266728,-244162.35019,221082.404605,298378.163744,-304870.451726,2003.08699778,1950.1065759,2050.21226474,2013.50152192,2023.59253651,2087.40692537,2064.90938989,2141.04815931,2157.38591983
7,2120.9937314,2109.95872641,3570.6499123,2090.43114154,2090.96137254,2027.99823731,39280.5740718,3599.43292923,1996.79316011,-770582.325277,-51052.1168037,195570.441093,78958.2793805,2073.02420871,2080.33501784,2092.13294853,2058.49413752,2003.53914035,1980.49238599,2060.07155587,2005.36636943,2081.33012298,2114.70579959,2094.88831276,-436526.130656,-329746.769761,288167.600139,2501518.32958,-107203.309357,2073.18529977,2223.07738214,2102.95809985,2014.87250896,2019.1746192,-614402.921675,-116587.087179,63794.2235335,27359.9359527,2018.49439811,1998.62312456,2029.41097631,2049.81760781,2024.91049002,2080.10312858,2029.77897741,2089.18561884,2101.21825523
8,2079.9962058,2151.45872483,3654.55599411,2108.39196089,2099.7842627,2033.73423248,38978.4603007,3573.30168723,2093.90676931,-2689.83810336,-8052.05518101,-282311.695715,-731107.523862,2022.20763002,2092.36980815,2054.33275258,1956.6416474,2005.2755182,1997.09685495,2047.16656056,2041.93392634,2116.9245437,2123.57617956,2120.13380622,100141.206756,-32533.9370788,42056.0369905,76071.0330491,-496217.40107,2059.0043713,2133.3528736,2147.12194889,2055.36975595,2035.58955527,1384886.7208,1600019.59518,121408.344021,57561.3167299,2071.83667104,2047.65826909,2024.55401023,2104.48465197,2077.51377931,2087.59007029,2011.30003881,2092.55546388,2056.49239265
9,2032.65553708,2151.49132936,3543.54007866,2139.36386855,2098.87323209,2025.0108891,38610.3070714,3534.00699903,2206.63979019,863261.987258,-244158.575506,-126772.019885,-386959.664128,2085.65961646,2082.06862962,2074.29607376,1956.01701115,2010.7676721,2001.11377301,2023.9397489,2087.16202849,2133.65003934,2126.62108723,2101.74819289,133586.178074,94985.6260275,-7121509.22136,-426633.451112,-138330.076155,2124.21513152,2079.91904619,2113.65992642,2079.07539576,2104.73780394,-366600.227611,206756.584612,125332.921671,-175832.622115,2061.63556784,2052.57175167,1977.4838962,2044.09349874,2044.86089339,2007.26289672,2029.57481554,2138.2734103,2054.40990292
10,2050.89552282,2069.94946728,3501.87779487,2104.4105762,2084.83660145,2041.97971535,39635.0225659,3574.18914998,2163.37594854,366304.665821,-49183.9605885,-45973.7232225,-84140.7976061,2161.99010645,2097.6940842,2167.2199793,2009.2925668,1946.27097566,1949.02253009,2034.73484508,2058.66286773,2124.04267925,2124.23921449,2090.61045399,-231851.850681,-749530.046183,57172.2471532,-271584.845173,833737.035356,2127.95315309,2087.34913385,2081.73843104,2130.25886983,2103.5002901,-81397.0449435,1285206.59483,141023.330808,-737.413988852,2012.00083409,2114.32501991,2004.69592848,1997.76532953,2046.75276918,2011.53329926,2054.11524645,2120.8834203,2121.95631872
